#Organism/Name	TaxID	Group	SubGroup	Assembly Accession	Genes	Proteins	Status
Fibroporia radiculosa	599839	Fungi	Basidiomycetes	GCA_000313525.1	9262	9262	Scaffold
Aspergillus fumigatus	746128	Fungi	Ascomycetes	GCA_002234985.1	9462	9284	Contig
Coniosporium apollinis CBS 100218	1168221	Fungi	Ascomycetes	GCA_000281105.1	9366	9308	Scaffold
Histoplasma capsulatum NAm1	339724	Fungi	Ascomycetes	GCA_000149585.1	9402	9313	Scaffold
Tolypocladium ophioglossoides CBS 100239	1163406	Fungi	Ascomycetes	GCA_001189435.1	9158	9317	Scaffold
Rutstroemia sp. NJR-2017a BVV2	2070413	Fungi	Ascomycetes	GCA_002946415.1	11419	9320	Contig
Diplodia seriata	420778	Fungi	Ascomycetes	GCA_001006355.1	9343	9343	Scaffold
Linderina pennispora	61395	Fungi	Other Fungi	GCA_002104995.1	9583	9350	Contig
Marssonina coronariae	503106	Fungi	Ascomycetes	GCA_002204255.1	9563	9355	Scaffold
Pseudogymnoascus sp. VKM F-4516 (FW-969)	1420910	Fungi	Ascomycetes	GCA_000750815.1	9363	9363	Contig
Pseudogymnoascus destructans	655981	Fungi	Ascomycetes	GCA_001641265.1	9527	9405	Scaffold
Spizellomyces punctatus DAOM BR117	645134	Fungi	Other Fungi	GCA_000182565.2	9162	9422	Scaffold
Emmonsia crescens UAMH 3008	1247875	Fungi	Ascomycetes	GCA_001008285.1	9558	9444	Scaffold
Histoplasma capsulatum H88	544711	Fungi	Ascomycetes	GCA_000151005.2	9665	9445	Scaffold
Pseudogymnoascus sp. VKM F-3775	1420901	Fungi	Ascomycetes	GCA_000750715.1	9472	9472	Contig
Pseudogymnoascus sp. VKM F-3557	1437433	Fungi	Ascomycetes	GCA_000750665.1	9482	9482	Contig
Sporothrix insectorum RCEF 264	1081102	Fungi	Ascomycetes	GCA_001636815.1	9496	9496	Scaffold
Talaromyces atroroseus	1441469	Fungi	Ascomycetes	GCA_001907595.1	9523	9523	Scaffold
Aspergillus fumigatus Z5	1437362	Fungi	Ascomycetes	GCA_001029325.1	9540	9540	Scaffold
Histoplasma capsulatum H143	544712	Fungi	Ascomycetes	GCA_000151035.1	9792	9547	Scaffold
Tilletia indica	43049	Fungi	Basidiomycetes	GCA_001645015.1	9548	9548	Scaffold
Aspergillus fumigatus	746128	Fungi	Ascomycetes	GCA_002234955.1	9729	9549	Contig
Aspergillus nidulans FGSC A4	227321	Fungi	Ascomycetes	GCA_000149205.2	9595	9561	Scaffold
Exophiala dermatitidis NIH/UT8656	858893	Fungi	Ascomycetes	GCA_000230625.1	9356	9578	Scaffold
Blastomyces gilchristii SLH14081	559298	Fungi	Ascomycetes	GCA_000003855.2	10041	9587	Scaffold
Cordyceps brongniartii RCEF 3172	1081107	Fungi	Ascomycetes	GCA_001636735.1	9595	9595	Scaffold
Penicillium griseofulvum	5078	Fungi	Ascomycetes	GCA_001561935.1	9630	9630	Contig
Aspergillus candidus	41067	Fungi	Ascomycetes	GCA_002847045.1	9803	9639	Scaffold
Amorphotheca resinae ATCC 22711	857342	Fungi	Ascomycetes	GCA_003019875.1	9642	9642	Scaffold
Cordyceps militaris CM01	983644	Fungi	Ascomycetes	GCA_000225605.1	9651	9651	Scaffold
Aspergillus lentulus	293939	Fungi	Ascomycetes	GCA_001445615.1	9966	9680	Contig
fungal sp. No.11243	1603295	Fungi	Other Fungi	GCA_000836255.1	9730	9693	Scaffold
Trichoderma citrinoviride	58853	Fungi	Ascomycetes	GCA_003025115.1	9929	9735	Scaffold
Aspergillus campestris IBT 28561	1392248	Fungi	Ascomycetes	GCA_002847485.1	9929	9756	Contig
Pseudogymnoascus sp. VKM F-103	1420912	Fungi	Ascomycetes	GCA_000750895.1	9802	9802	Contig
Thielavia terrestris NRRL 8126	578455	Fungi	Ascomycetes	GCA_000226115.1	9958	9802	Complete Genome
Rasamsonia emersonii CBS 393.64	1408163	Fungi	Ascomycetes	GCA_000968595.1	9843	9843	Contig
Metarhizium acridum CQMa 102	655827	Fungi	Ascomycetes	GCA_000187405.1	9974	9849	Scaffold
Trichoderma reesei RUT C-30	1344414	Fungi	Ascomycetes	GCA_000513815.1	10048	9849	Scaffold
Leucosporidium creatinivorum	106004	Fungi	Basidiomycetes	GCA_002105055.1	9981	9854	Contig
Tilletia controversa	13291	Fungi	Basidiomycetes	GCA_001645045.1	9860	9860	Scaffold
Penicilliopsis zonata CBS 506.65	1073090	Fungi	Ascomycetes	GCA_001890105.1	10027	9870	Scaffold
Batrachochytrium dendrobatidis JEL423	403673	Fungi	Other Fungi	GCA_000149865.1	8762	9879	Scaffold
Sordaria macrospora k-hell	771870	Fungi	Ascomycetes	GCA_000182805.2	10551	9896	Scaffold
Coccidioides immitis RS	246410	Fungi	Ascomycetes	GCA_000149335.2	9905	9910	Scaffold
Zygosaccharomyces bailii ISA1307	1355161	Fungi	Ascomycetes	GCA_000530735.1	10442	9925	Scaffold
Talaromyces islandicus	28573	Fungi	Ascomycetes	GCA_000985935.1	10090	9927	Scaffold
Pseudogymnoascus sp. VKM F-3808	1391699	Fungi	Ascomycetes	GCA_000750675.1	9929	9929	Contig
Aspergillus fumigatus A1163	451804	Fungi	Ascomycetes	GCA_000150145.1	10123	9929	Scaffold
Polytolypa hystricis UAMH7299	1447883	Fungi	Ascomycetes	GCA_002573605.1	9934	9934	Scaffold
Aspergillus turcosus	1245748	Fungi	Ascomycetes	GCA_002234975.1	10120	9940	Contig
Coccidioides posadasii RMSCC 3488	454284	Fungi	Ascomycetes	GCA_000150055.1	10016	9964	Scaffold
Penicillium oxalicum 114-2	933388	Fungi	Ascomycetes	GCA_000346795.1	10013	9979	Scaffold
Verticillium dahliae	27337	Fungi	Ascomycetes	GCA_002893045.1	9925	9986	Scaffold
Verticillium dahliae	27337	Fungi	Ascomycetes	GCA_002892995.1	9933	9990	Scaffold
Penicillium italicum	40296	Fungi	Ascomycetes	GCA_000769765.1	9996	9996	Contig
Aspergillus udagawae	91492	Fungi	Ascomycetes	GCA_001078395.1	10195	9999	Contig
Marssonina brunnea f. sp. 'multigermtubi' MB_m1	1072389	Fungi	Ascomycetes	GCA_000298775.1	10027	10027	Scaffold
Zygosaccharomyces rouxii	4956	Fungi	Ascomycetes	GCA_001972345.1	10576	10038	Scaffold
Aspergillus turcosus	1245748	Fungi	Ascomycetes	GCA_002234965.1	10235	10057	Contig
Cordyceps fumosorosea ARSEF 2679	1081104	Fungi	Ascomycetes	GCA_001636725.1	10061	10061	Scaffold
Aspergillus ruber CBS 135680	1388766	Fungi	Ascomycetes	GCA_000600275.1	10241	10066	Scaffold
Zygosaccharomyces parabailii	1365886	Fungi	Ascomycetes	GCA_001984395.2	10633	10086	Complete Genome
Cladophialophora yegresii CBS 114405	1182544	Fungi	Ascomycetes	GCA_000585515.1	10118	10118	Scaffold
Sphaerulina musiva SO2202	692275	Fungi	Ascomycetes	GCA_000320565.2	10240	10156	Scaffold
Sclerotinia borealis F-4128	1432307	Fungi	Ascomycetes	GCA_000503235.1	10346	10166	Scaffold
Cercospora zeina	348901	Fungi	Ascomycetes	GCA_002844615.1	10193	10193	Scaffold
Tilletia caries	13290	Fungi	Basidiomycetes	GCA_001645005.1	10204	10204	Scaffold
Beauveria bassiana	176275	Fungi	Ascomycetes	GCA_001682635.1	10125	10210	Contig
Helicocarpus griseus UAMH5409	1447875	Fungi	Ascomycetes	GCA_002573585.1	10224	10224	Scaffold
Coccidioides posadasii str. Silveira	443226	Fungi	Ascomycetes	GCA_000170175.2	10379	10228	Scaffold
Trametes cinnabarina	5643	Fungi	Basidiomycetes	GCA_000765035.1	10419	10233	Scaffold
Verticillium alfalfae VaMs.102	526221	Fungi	Ascomycetes	GCA_000150825.1	10488	10237	Scaffold
Dacryopinax primogenitus	1858805	Fungi	Basidiomycetes	GCA_000292625.1	10301	10240	Scaffold
Pseudogymnoascus sp. 03VT05	1622148	Fungi	Ascomycetes	GCA_001662645.1	10392	10252	Scaffold
Aureobasidium namibiae CBS 147.97	1043004	Fungi	Ascomycetes	GCA_000721765.1	10259	10259	Scaffold
Pseudogymnoascus sp. 24MN13	1622150	Fungi	Ascomycetes	GCA_001662595.1	10363	10269	Scaffold
Penicillium vulpinum	29845	Fungi	Ascomycetes	GCA_002072255.1	10278	10278	Scaffold
Blastomyces percursus	1658174	Fungi	Ascomycetes	GCA_001883805.1	10377	10285	Scaffold
Sporothrix schenckii 1099-18	1397361	Fungi	Ascomycetes	GCA_000961545.1	10432	10293	Contig
Cryptococcus amylolentus CBS 6039	1295533	Fungi	Basidiomycetes	GCA_001720205.1	8503	10306	Scaffold
Colletotrichum chlorophyti	708187	Fungi	Ascomycetes	GCA_001937105.1	10419	10310	Scaffold
Acidomyces richmondensis	245562	Fungi	Ascomycetes	GCA_001572075.1	10338	10338	Contig
Aspergillus cristatus	573508	Fungi	Ascomycetes	GCA_001717485.1	10344	10344	Scaffold
Amanita thiersii Skay4041	703135	Fungi	Basidiomycetes	GCA_002554575.1	10346	10346	Scaffold
Exophiala mesophila	212818	Fungi	Ascomycetes	GCA_000836275.1	9237	10347	Scaffold
Penicillium brasilianum	104259	Fungi	Ascomycetes	GCA_002016555.1	10521	10352	Scaffold
Penicillium steckii	303698	Fungi	Ascomycetes	GCA_002072375.1	10362	10362	Scaffold
Beauveria bassiana ARSEF 2860	655819	Fungi	Ascomycetes	GCA_000280675.1	10364	10364	Scaffold
Neofusicoccum parvum UCRNP2	1287680	Fungi	Ascomycetes	GCA_000385595.1	10366	10366	Scaffold
Verticillium dahliae	27337	Fungi	Ascomycetes	GCA_002893025.1	10294	10371	Scaffold
Aspergillus niger	5061	Fungi	Ascomycetes	GCA_001515345.1	10373	10373	Scaffold
Cladophialophora carrionii CBS 160.54	1279043	Fungi	Ascomycetes	GCA_000365165.2	10428	10373	Scaffold
Neurospora tetrasperma FGSC 2508	510951	Fungi	Ascomycetes	GCA_000213175.1	10380	10380	Scaffold
Aspergillus fischeri NRRL 181	331117	Fungi	Ascomycetes	GCA_000149645.2	10599	10395	Scaffold
Aspergillus terreus NIH2624	341663	Fungi	Ascomycetes	GCA_000149615.1	10551	10401	Scaffold
Coccidioides immitis RMSCC 2394	404692	Fungi	Ascomycetes	GCA_000149895.1	10524	10408	Scaffold
Verticillium dahliae	27337	Fungi	Ascomycetes	GCA_002893035.1	10330	10415	Scaffold
Agaricus bisporus var. bisporus H97	936046	Fungi	Basidiomycetes	GCA_000300575.1	10606	10448	Scaffold
Coccidioides immitis RMSCC 3703	454286	Fungi	Ascomycetes	GCA_000150085.1	10538	10463	Scaffold
Capronia epimyces CBS 606.96	1182542	Fungi	Ascomycetes	GCA_000585565.1	10469	10469	Scaffold
Rhizoctonia solani AG-1 IA	983506	Fungi	Basidiomycetes	GCA_000334115.1	10590	10489	Scaffold
Baudoinia panamericana UAMH 10762	717646	Fungi	Ascomycetes	GCA_000338955.1	10549	10508	Scaffold
Pseudogymnoascus sp. 05NY08	1622149	Fungi	Ascomycetes	GCA_001662605.1	10662	10514	Scaffold
Aspergillus nidulans FGSC A4	227321	Fungi	Ascomycetes	GCA_000011425.1	10597	10534	Chromosome
Verticillium dahliae VdLs.17	498257	Fungi	Ascomycetes	GCA_000150675.2	10811	10535	Scaffold
Podospora anserina S mat+	515849	Fungi	Ascomycetes	GCA_000226545.1	11062	10548	Scaffold
Zymoseptoria brevis	1047168	Fungi	Ascomycetes	GCA_000966595.1	10566	10566	Contig
Conidiobolus coronatus NRRL 28638	796925	Fungi	Other Fungi	GCA_001566745.1	11229	10572	Scaffold
Pseudogymnoascus verrucosus	342668	Fungi	Ascomycetes	GCA_001662655.1	10715	10573	Scaffold
Aureobasidium melanogenum CBS 110374	1043003	Fungi	Ascomycetes	GCA_000721775.1	10584	10584	Scaffold
Coccidioides immitis H538.4	396776	Fungi	Ascomycetes	GCA_000149815.1	10723	10593	Scaffold
Ascochyta rabiei	5454	Fungi	Ascomycetes	GCA_001630375.1	10596	10596	Scaffold
Trichophyton rubrum CBS 289.86	1215329	Fungi	Ascomycetes	GCA_000616845.1	8961	10598	Scaffold
Verticillium dahliae	27337	Fungi	Ascomycetes	GCA_002892985.1	10485	10613	Contig
Aspergillus thermomutatus	41047	Fungi	Ascomycetes	GCA_002237265.1	10814	10624	Contig
Pseudogymnoascus sp. VKM F-4519 (FW-2642)	1420914	Fungi	Ascomycetes	GCA_000750935.1	10630	10630	Contig
Trichophyton rubrum CBS 100081	1215328	Fungi	Ascomycetes	GCA_000616805.1	8985	10637	Scaffold
Talaromyces marneffei ATCC 18224	441960	Fungi	Ascomycetes	GCA_000001985.1	10129	10638	Scaffold
Trichophyton rubrum MR1448	1215339	Fungi	Ascomycetes	GCA_000616905.1	9017	10643	Scaffold
Ogataea parapolymorpha DL-1	871575	Fungi	Ascomycetes	GCA_000187245.3	10813	10650	Chromosome
Trichophyton rubrum CBS 288.86	1215330	Fungi	Ascomycetes	GCA_000616825.1	9008	10653	Scaffold
Trichophyton rubrum D6	1215335	Fungi	Ascomycetes	GCA_000622995.1	9007	10659	Contig
Penicillium expansum	27334	Fungi	Ascomycetes	GCA_000769755.1	10663	10663	Contig
Trichophyton soudanense CBS 452.61	1215331	Fungi	Ascomycetes	GCA_000616865.1	9015	10671	Scaffold
Pseudogymnoascus sp. VKM F-4515 (FW-2607)	1420909	Fungi	Ascomycetes	GCA_000750805.1	10676	10676	Contig
Trichophyton rubrum MR850	1215337	Fungi	Ascomycetes	GCA_000616765.1	9032	10686	Scaffold
Metarhizium brunneum ARSEF 3297	1276141	Fungi	Ascomycetes	GCA_000814965.1	10689	10689	Scaffold
Penicillium polonicum	60169	Fungi	Ascomycetes	GCA_002072265.1	10694	10694	Scaffold
Beauveria bassiana	176275	Fungi	Ascomycetes	GCA_002871155.1	10841	10695	Contig
Diaporthe ampelina	1214573	Fungi	Ascomycetes	GCA_001006365.1	10704	10704	Scaffold
Stachybotrys chlorohalonata IBT 40285	1283841	Fungi	Ascomycetes	GCA_000732775.1	10706	10706	Scaffold
Madurella mycetomatis	100816	Fungi	Ascomycetes	GCA_001275765.2	10707	10707	Scaffold
Pseudogymnoascus sp. VKM F-4517 (FW-2822)	1420911	Fungi	Ascomycetes	GCA_000750875.1	10744	10744	Contig
Pseudogymnoascus sp. 23342-1-I1	1524831	Fungi	Ascomycetes	GCA_001662575.1	10914	10762	Scaffold
Trichophyton rubrum CBS 735.88	1215332	Fungi	Ascomycetes	GCA_000616965.1	9023	10776	Scaffold
Aureobasidium subglaciale EXF-2481	1043005	Fungi	Ascomycetes	GCA_000721755.1	10792	10792	Scaffold
Metarhizium anisopliae	5530	Fungi	Ascomycetes	GCA_000739145.1	10958	10795	Contig
Neurospora crassa OR74A	367110	Fungi	Ascomycetes	GCA_000182925.2	10455	10812	Chromosome
Trichophyton rubrum MR1459	1215341	Fungi	Ascomycetes	GCA_000616945.1	9076	10813	Scaffold
Trichophyton rubrum CBS 202.88	1215334	Fungi	Ascomycetes	GCA_000616985.1	9162	10820	Scaffold
Diplodia corticola	236234	Fungi	Ascomycetes	GCA_001883845.1	10839	10839	Scaffold
Aspergillus aculeatus ATCC 16872	690307	Fungi	Ascomycetes	GCA_001890905.1	11165	10843	Scaffold
Valsa mali var. pyri	694573	Fungi	Ascomycetes	GCA_000813385.1	10855	10855	Scaffold
Metarhizium anisopliae ARSEF 549	1276135	Fungi	Ascomycetes	GCA_000814975.1	10891	10891	Scaffold
Rhizopus microsporus ATCC 52813	1340429	Fungi	Other Fungi	GCA_002708625.1	10959	10891	Scaffold
Talaromyces cellulolyticus	1472165	Fungi	Ascomycetes	GCA_000829775.1	11079	10910	Scaffold
Trichoderma longibrachiatum ATCC 18648	983965	Fungi	Ascomycetes	GCA_003025155.1	11132	10934	Scaffold
Aspergillus niger ATCC 1015	380704	Fungi	Ascomycetes	GCA_000230395.2	10947	10950	Contig
Dactylellina haptotyla CBS 200.50	1284197	Fungi	Ascomycetes	GCA_000441935.1	10959	10959	Scaffold
Zymoseptoria tritici IPO323	336722	Fungi	Ascomycetes	GCA_000219625.1	10964	10963	Chromosome
Rutstroemia sp. NJR-2017a WRK4	2070412	Fungi	Ascomycetes	GCA_002946385.1	11409	10968	Contig
Rutstroemia sp. NJR-2017a BBW	2070414	Fungi	Ascomycetes	GCA_002946425.1	11463	10975	Contig
Piromyces finnis	1754191	Fungi	Other Fungi	GCA_002104945.1	11314	10978	Contig
Rhizoctonia solani 123E	1423351	Fungi	Basidiomycetes	GCA_000715385.1	10993	10993	Contig
Penicillium flavigenum	254877	Fungi	Ascomycetes	GCA_002072365.1	10994	10994	Scaffold
Trichoderma gamsii	398673	Fungi	Ascomycetes	GCA_002894205.1	10994	10994	Scaffold
Penicillium expansum	27334	Fungi	Ascomycetes	GCA_000769735.1	11023	11023	Contig
Botrytis cinerea BcDW1	1290391	Fungi	Ascomycetes	GCA_000349525.1	11028	11028	Scaffold
Cordyceps confragosa RCEF 1005	1081108	Fungi	Ascomycetes	GCA_001636795.1	11030	11030	Scaffold
Pseudogymnoascus sp. WSF 3629	1622147	Fungi	Ascomycetes	GCA_001662585.1	11188	11033	Scaffold
Chaetomium globosum CBS 148.51	306901	Fungi	Ascomycetes	GCA_000143365.1	11228	11048	Scaffold
Penicillium expansum	27334	Fungi	Ascomycetes	GCA_000769745.1	11060	11060	Contig
Cyphellophora europaea CBS 101466	1220924	Fungi	Ascomycetes	GCA_000365145.2	11153	11094	Scaffold
Exophiala sideris	1016849	Fungi	Ascomycetes	GCA_000835395.1	10237	11120	Scaffold
Syncephalastrum racemosum	13706	Fungi	Other Fungi	GCA_002105135.1	11247	11121	Contig
Sclerotinia sclerotiorum 1980 UF-70	665079	Fungi	Ascomycetes	GCA_001857865.1	11368	11130	Chromosome
Hesseltinella vesiculosa	101127	Fungi	Other Fungi	GCA_002104935.1	11243	11139	Contig
Termitomyces sp. J132	1306850	Fungi	Basidiomycetes	GCA_001263195.1	11393	11143	Scaffold
Daldinia sp. EC12	1001832	Fungi	Ascomycetes	GCA_002120325.1	11321	11161	Scaffold
Trichoderma gamsii	398673	Fungi	Ascomycetes	GCA_001481775.2	11171	11171	Scaffold
Millerozyma farinosa CBS 7064	559304	Fungi	Ascomycetes	GCA_000315895.1	11746	11175	Chromosome
Acidomyces richmondensis BFW	766039	Fungi	Ascomycetes	GCA_001592465.1	11177	11177	Scaffold
Cladophialophora carrionii	86049	Fungi	Ascomycetes	GCA_001700775.1	11240	11181	Scaffold
Neurospora tetrasperma FGSC 2509	510952	Fungi	Ascomycetes	GCA_000213195.1	11186	11186	Scaffold
Aspergillus oryzae 100-8	1197718	Fungi	Ascomycetes	GCA_000691885.1	11188	11187	Contig
Aspergillus niger	5061	Fungi	Ascomycetes	GCA_002211485.1	11601	11190	Contig
Penicillium chrysogenum	5076	Fungi	Ascomycetes	GCA_000710275.1	11460	11198	Chromosome
Blastomyces dermatitidis ATCC 26199	447095	Fungi	Ascomycetes	GCA_000166155.1	9491	11211	Scaffold
Penicillium occitanis	290292	Fungi	Ascomycetes	GCA_002382855.1	11231	11231	Contig
Fistulina hepatica ATCC 64428	1128425	Fungi	Basidiomycetes	GCA_000934395.1	11391	11244	Scaffold
Cordyceps sp. RAO-2017	2004951	Fungi	Ascomycetes	GCA_002591385.1	11255	11255	Scaffold
Trichoderma guizhouense	1491466	Fungi	Ascomycetes	GCA_002022785.1	11255	11255	Scaffold
Aspergillus glaucus CBS 516.65	1160497	Fungi	Ascomycetes	GCA_001890805.1	11429	11255	Scaffold
Smittium culicis	133412	Fungi	Other Fungi	GCA_001970865.1	11547	11260	Scaffold
Trichoderma harzianum	5544	Fungi	Ascomycetes	GCA_002894145.1	11264	11264	Scaffold
Penicillium occitanis	290292	Fungi	Ascomycetes	GCA_002382835.1	11267	11267	Contig
Agaricus bisporus var. burnettii JB137-S8	597362	Fungi	Basidiomycetes	GCA_000300555.1	11455	11278	Scaffold
Valsa mali	105487	Fungi	Ascomycetes	GCA_000818155.1	11284	11284	Chromosome
Coniella lustricola	2025994	Fungi	Ascomycetes	GCA_003019895.1	11474	11314	Scaffold
Talaromyces verruculosus	198730	Fungi	Ascomycetes	GCA_001305275.1	11326	11326	Scaffold
Fomitiporia mediterranea MF3/22	694068	Fungi	Basidiomycetes	GCA_000271605.1	11419	11338	Scaffold
Mucor ambiguus	91626	Fungi	Other Fungi	GCA_000950595.1	11651	11343	Scaffold
Rhizopus microsporus	58291	Fungi	Other Fungi	GCA_002083735.1	11402	11352	Scaffold
Verruconis gallopava	253628	Fungi	Ascomycetes	GCA_000836295.1	9870	11357	Scaffold
Stachybotrys chartarum IBT 40288	1283842	Fungi	Ascomycetes	GCA_000732765.1	11370	11368	Scaffold
Rhinocladiella mackenziei CBS 650.93	1442369	Fungi	Ascomycetes	GCA_000835555.1	11418	11382	Scaffold
Aspergillus oryzae 3.042	1160506	Fungi	Ascomycetes	GCA_000269785.2	11639	11397	Contig
Metarhizium anisopliae BRIP 53293	1291518	Fungi	Ascomycetes	GCA_000426965.1	11415	11415	Scaffold
Blastomyces dermatitidis ATCC 18188	653446	Fungi	Ascomycetes	GCA_000151595.1	10448	11443	Scaffold
Stachybotrys chartarum IBT 40293	1280524	Fungi	Ascomycetes	GCA_000732565.1	11453	11453	Scaffold
Aspergillus oryzae	5062	Fungi	Ascomycetes	GCA_002007945.1	11456	11456	Contig
Metarhizium anisopliae BRIP 53284	1291519	Fungi	Ascomycetes	GCA_000426985.1	11456	11456	Scaffold
Torrubiella hemipterigena	1531966	Fungi	Ascomycetes	GCA_000825705.1	10773	11471	Scaffold
Aspergillus carbonarius ITEM 5010	602072	Fungi	Ascomycetes	GCA_001990825.1	11735	11478	Scaffold
Arthrobotrys oligospora ATCC 24927	756982	Fungi	Ascomycetes	GCA_000225545.1	11479	11479	Scaffold
Aspergillus kawachii IFO 4308	1033177	Fungi	Ascomycetes	GCA_000239835.2	11488	11491	Scaffold
Rhizopus microsporus var. microsporus	86635	Fungi	Other Fungi	GCA_002083745.1	11554	11496	Scaffold
Trichoderma harzianum	5544	Fungi	Ascomycetes	GCA_000988865.1	11498	11498	Scaffold
Penicillium antarcticum	416450	Fungi	Ascomycetes	GCA_002072345.1	11514	11514	Scaffold
Stachybotrys chartarum IBT 7711	1280523	Fungi	Ascomycetes	GCA_000730325.1	11530	11530	Scaffold
Aspergillus novofumigatus IBT 16806	1392255	Fungi	Ascomycetes	GCA_002847465.1	11729	11534	Contig
Metarhizium majus ARSEF 297	1276143	Fungi	Ascomycetes	GCA_000814945.1	11535	11535	Scaffold
Blastomyces dermatitidis ER-3	559297	Fungi	Ascomycetes	GCA_000003525.2	10081	11539	Scaffold
Punctularia strigosozonata HHB-11173 SS5	741275	Fungi	Basidiomycetes	GCA_000264995.1	11647	11540	Scaffold
Lichtheimia ramosa	688394	Fungi	Other Fungi	GCA_000945115.1	11510	11542	Scaffold
Pseudogymnoascus sp. VKM F-4520 (FW-2644)	1420915	Fungi	Ascomycetes	GCA_000750995.1	11551	11551	Contig
Ramularia collo-cygni	112498	Fungi	Ascomycetes	GCA_900074925.1	11544	11612	Scaffold
Pseudogymnoascus sp. VKM F-4518 (FW-2643)	1420913	Fungi	Ascomycetes	GCA_000750925.1	11619	11619	Contig
Fonsecaea nubica	856822	Fungi	Ascomycetes	GCA_001646965.1	11696	11681	Scaffold
Eutypa lata UCREL1	1287681	Fungi	Ascomycetes	GCA_000349385.1	11685	11685	Scaffold
Metarhizium robertsii ARSEF 23	655844	Fungi	Ascomycetes	GCA_000187425.2	11688	11688	Scaffold
Setosphaeria turcica Et28A	671987	Fungi	Ascomycetes	GCA_000359705.1	11846	11698	Scaffold
Hypoxylon sp. CI-4A	1001833	Fungi	Ascomycetes	GCA_002120315.1	11916	11701	Scaffold
Mucor circinelloides f. lusitanicus CBS 277.49	747725	Fungi	Other Fungi	GCA_001638945.1	11936	11709	Contig
Zymoseptoria tritici ST99CH_3D7	1276538	Fungi	Ascomycetes	GCA_900091695.1	11726	11726	Chromosome
Penicillium freii	48697	Fungi	Ascomycetes	GCA_001513925.1	11739	11739	Scaffold
Gloeophyllum trabeum ATCC 11539	670483	Fungi	Basidiomycetes	GCA_000344685.1	11885	11755	Scaffold
Purpureocillium lilacinum	33203	Fungi	Ascomycetes	GCA_001653265.1	11850	11763	Scaffold
Purpureocillium lilacinum	33203	Fungi	Ascomycetes	GCA_001653205.1	11861	11773	Scaffold
Metarhizium guizhouense ARSEF 977	1276136	Fungi	Ascomycetes	GCA_000814955.1	11787	11787	Scaffold
Serendipita indica DSM 11827	1109443	Fungi	Basidiomycetes	GCA_000313545.1	11879	11791	Scaffold
Pyrenophora teres f. teres 0-1	861557	Fungi	Ascomycetes	GCA_000166005.1	11799	11799	Scaffold
Fonsecaea multimorphosa	979981	Fungi	Ascomycetes	GCA_001646985.1	11815	11804	Scaffold
Trichoderma atroviride IMI 206040	452589	Fungi	Ascomycetes	GCA_000171015.2	11810	11816	Contig
Lobosporangium transversale	64571	Fungi	Other Fungi	GCA_002105155.1	11983	11822	Contig
Fusarium graminearum	5518	Fungi	Ascomycetes	GCA_002352725.1	11827	11827	Scaffold
Aureobasidium pullulans EXF-150	1043002	Fungi	Ascomycetes	GCA_000721785.1	11844	11844	Scaffold
Phialophora attae	1664694	Fungi	Ascomycetes	GCA_001299255.1	11848	11848	Contig
Colletotrichum incanum	1573173	Fungi	Ascomycetes	GCA_001855235.1	12000	11852	Scaffold
Penicillium nalgiovense	60175	Fungi	Ascomycetes	GCA_002072425.1	11853	11853	Scaffold
Phlebiopsis gigantea 11061_1 CR5-6	745531	Fungi	Basidiomycetes	GCA_000832265.1	12014	11855	Scaffold
Beauveria bassiana D1-5	1245745	Fungi	Ascomycetes	GCA_000770705.1	12038	11861	Contig
Penicillium solitum	60172	Fungi	Ascomycetes	GCA_002072235.1	11889	11889	Scaffold
Rhizoctonia solani	456999	Fungi	Basidiomycetes	GCA_001286725.1	12012	11897	Scaffold
Cercospora berteroae	357750	Fungi	Ascomycetes	GCA_002933655.1	11903	11903	Scaffold
Aspergillus nomius NRRL 13137	1509407	Fungi	Ascomycetes	GCA_001204775.1	11904	11904	Contig
Phialophora americana	5601	Fungi	Ascomycetes	GCA_000835435.1	10971	11909	Scaffold
Fusarium langsethiae	179993	Fungi	Ascomycetes	GCA_001292635.1	12183	11940	Scaffold
Penicillium brasilianum	104259	Fungi	Ascomycetes	GCA_001048715.1	11432	11943	Scaffold
Neurospora crassa	5141	Fungi	Ascomycetes	GCA_000786625.1	12368	11968	Scaffold
Choanephora cucurbitarum	101091	Fungi	Other Fungi	GCA_001683725.1	11977	11977	Scaffold
Fonsecaea monophora	254056	Fungi	Ascomycetes	GCA_001642475.1	11999	11984	Contig
Bipolaris oryzae ATCC 44560	930090	Fungi	Ascomycetes	GCA_000523455.1	12002	12002	Scaffold
Colletotrichum graminicola M1.001	645133	Fungi	Ascomycetes	GCA_000149035.1	12387	12020	Scaffold
Epicoccum nigrum	105696	Fungi	Ascomycetes	GCA_002116315.1	12190	12025	Scaffold
Alternaria alternata	5599	Fungi	Ascomycetes	GCA_001572055.1	12048	12048	Contig
Exophiala spinifera	91928	Fungi	Ascomycetes	GCA_000836115.1	12110	12049	Scaffold
Lentinula edodes	5353	Fungi	Basidiomycetes	GCA_002003045.1	12051	12051	Scaffold
Zymoseptoria tritici ST99CH_1A5	1276529	Fungi	Ascomycetes	GCA_900099495.1	12072	12072	Chromosome
Aspergillus oryzae RIB40	510516	Fungi	Ascomycetes	GCA_000184455.3	12347	12074	Chromosome
Aspergillus arachidicola	656916	Fungi	Ascomycetes	GCA_002749805.1	12090	12090	Contig
